,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Doctors picketing Statler Hotel where Robert Welch Jr. is speaking to Los Angeles County Medical Assn., 1963",African American physicians--California--Los Angeles,Activism,Charles R. Drew Medical Society,Los Angeles (Calif.),,1963-01-01,1963,"MEDICAL MARCH-Doctors picketing Statler Hilton Hotel as Robert Welch Jr., founder of John Birch Society, addresses closed meeting of general practice section of the Los Angeles County Medical Assn.",-118.2598749,34.05033045,"34.05033045,-118.2598749",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167742a.jpg
"Mothers and children picketing underpass pedestrian tunnels at City Terrace Dr. and San Bernardino Freeway in Los Angeles, Calif., 1963",School children--California--Los Angeles County,Activism,,Los Angeles County (Calif.),,1963-01-01,1963,DOWN WITH TUNNELS'-Mothers and children picket tunnel at city Terrace Dr. and San Bernardino Freeway and under Ramona Blvd. to Harrison Street Elementary School charging molesters and loiterers make passages unsafe.,-118.1855455,34.05507278,"34.05507278,-118.1855455",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167725a.jpg
"Dr. Martin Luther King Jr. speaking at civil rights rally at Los Angeles Coliseum, 1964",Clergy--California--Los Angeles County,Activism,"O'Keefe, Walter, 1900-1983",Los Angeles (Calif.),,1964-01-01,1964,,-118.2880354,34.01403197,"34.01403197,-118.2880354",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326245a.jpg
"Lone picket carrying sign in parking lot of Vons Market on Alvarado Street in Los Angeles, Calif., 1964",Grocery stores--California--Los Angeles County,Activism,,Los Angeles (Calif.),,1964-01-01,1964,"ONE OF TWO-Raul Cardona carries sign as he pickets rear of Vons Market at 840 S Alvarado St. His brother, Rene, was picketing in the front.",-118.27813,34.05337055,"34.05337055,-118.27813",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167961a.jpg
"Dr. Martin Luther King chatting with a little girl at Nickerson Gardens housing project in Los Angeles, Calif., 1964",African American civil rights workers,Activism,"King, Martin Luther, Jr., 1929-1968--Public appearances--California--Los Angeles","Watts (Los Angeles, Calif.)",,1964-01-01,1964,ON L.A. VISIT-Dr. Martin Luther King pauses to chat with a little girl at Nickerson Gardens housing project during tour of Negro districts here.,-118.2466355,33.93126994,"33.93126994,-118.2466355",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168001a.jpg
"Los Angeles Mayor Samuel W. Yorty signing petition protesting Soviet anti-Semitism placard wearing members of Jewish Labor Committee, 1964",Jews--Politics and government--1948-,Activism,"Stenzor, Isidor",Los Angeles (Calif.)--Officials and employees,,1964-01-01,1964,"MAYOR SIGNS-Mayor Samuel W. Yorty adds his signature to petition protesting Soviet anti-Semitism. Holding clip board for him is Isidor Stenzor, chairman of Jewish Labor Committee, participating in drive with Workmen's Circle.",-118.2429823,34.05378611,"34.05378611,-118.2429823",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167943a.jpg
"Dorothy Healey podium speaking to crowd in bleachers at Cal State Los Angeles, 1964","Communists--California, Southern",Activism,"California State University, Los Angeles",Los Angeles (Calif.),,1964-01-01,1964,"COLLEGE CROWD-More than 4,000 people heard Dorothy Healey, Southern California Communist Party Chairman, right, as she spoke in the Cal State (L.A.) stadium Wednesday. Speech was sponsored by two campus groups in an Open Forumn Series. Quiet picketing and mild heckling greeted her on campus.",-118.1674969,34.06420667,"34.06420667,-118.1674969",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167862a.jpg
"Crowd of people carrying banners during political rally for Lyndon B. Johnson in Los Angeles, Calif., 1964",Political parades & rallies--California--Los Angeles County,Activism,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973",Los Angeles (Calif.),"Graham, Ray",1964-01-01,1964,"AMONG THE FANS-The ""South Sea Island people"" are among those carrying banners in the huge crowd that heard President Johnson's speech at City Hall.",-118.243854,34.05371722,"34.05371722,-118.243854",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168002a.jpg
"Dr. Martin Luther King being greeted by crowd upon his arrival at Los Angeles airport, 1965",Arrivals & departures $x American $z California $z Los Angeles,Activism,"King, Martin Luther, Jr., 1929-1968--Public appearances--California--Los Angeles",Los Angeles (Calif.),,1965-01-01,1965,WARM WELCOME-Eager hands reach out to Dr. Martin Luther King as he presses through crowd of admirers on his arrival here for series of speeches.,-118.4046257,33.94254999,"33.94254999,-118.4046257",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168095a.jpg
"Crowd watching CORE members demonstrating non-violent protection skills on steps of Los Angeles Federal Building, 1965",African Americans--Civil rights,Activism,Congress of Racial Equality,Los Angeles (Calif.),,1965-01-01,1965,PRACTICE SESSION-Crowds watch as CORE members demonstrate methods of self-protection in the event of violence. Instruction was part of a non-violence workshop held on steps of Federal Building,-118.4483457,34.0561461,"34.0561461,-118.4483457",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168114a.jpg
"Fire fighters with signs reading ""Long Hours Kill Firefighters Fast!,"" picketing Los Angeles City Hall, Calif., 1966",Fire fighters--California--Los Angeles County,Activism,"Los Angeles Times Building (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.",,1966-01-01,1966,,-118.2430387,34.05327277,"34.05327277,-118.2430387",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328463a.jpg
"Members of property owners groups picketing outside Hall of Administration to protest property taxes in Los Angeles, Calif., 1966",Real property tax--California--Los Angeles County,Activism,,Los Angeles (Calif.),,1966-01-01,1966,,-118.2457195,34.05708718,"34.05708718,-118.2457195",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326042a.jpg
"Max Richardson and Pete Kurbitaf picketing in front of Angels Stadium in Anaheim, Calif., 1966",Picketing--California--Orange County,Activism,Building Service Employees' International Union,Anaheim (Calif.),,1966-01-01,1966,"WORK STOPPAGE-Max Richardson, left, of Building Service Employes International Union, and Pete Kurbitaff of Teamsters Union picketed in front of Angels Stadium last week as unions protested city's role in hiring stadium employees.",-117.884481,33.79884419,"33.79884419,-117.884481",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328455a.jpg
"Minister Malcolm Boyd with guitarist, Raul Lara on stage at the hungry I, in San Francisco, Calif., 1966",Counterculture--California--San Francisco,Activism,"Boyd, Malcolm, 1923-",San Francisco (Calif.),"Brown, Frank Q.",1966-01-01,1966,"The Rev. Malcolm Boyd giving his first-night performance at the hungry i. At right, guitarist Raul Lara.",-122.4051552,37.79622006,"37.79622006,-122.4051552",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326015a.jpg
"Mayor Samuel W. Yorty surrounded by UCLA students who oppose Yorty's support of the Vietnam War, Los Angeles, Calif., 1966",Student protesters--California--Los Angeles County,Activism,"Yorty, Sam, 1909- --Public opinion",Los Angeles (Calif.)--Officials and employees,"Cox, Bruce H.",1966-01-01,1966,STUDENT CRITICS-Mayor Samuel W. Yorty runs into heckling from students who oppose U.S. policies in Vietnam as he takes part in UCLA campus program designed to demonstrate support for the war effort.,-118.4429732,34.07069791,"34.07069791,-118.4429732",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328473a.jpg
"Members of the Sons of Watts picketing Worker's International Bookstore at 92nd St. and Compton Ave. in Watts, Calif., 1966",Anti-communist movements--California--Los Angeles County,Activism,,"Watts (Los Angeles, Calif.)",,1966-01-01,1966,PROTEST ON THE OUTSIDE--Members of the Sons of Watts carry anti-Communist signs as they picket Workers' International Bookstore.,-118.2474965,33.95337246,"33.95337246,-118.2474965",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328541a.jpg
"Anti-war demonstrators wave signs at President Lyndon B. Johnson's plane at LAX, 1966","Vietnam War, 1961-1975--Protest movements--California--Los Angeles County",Activism,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973",Los Angeles (Calif.),"Fry, George R.",1966-01-01,1966,PICKETING THE PRESIDENT-Anti-war demonstrators wave signs a few hundred feet from President Johnson's plane at International Airport while Chief Executive was aboard meeting with advisers.,-118.4112883,33.94328874,"33.94328874,-118.4112883",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061648a.jpg
"Maritime industry workers picketing U.S. Maritime offices in San Pedro, Calif., 1966",Shipbuilding industry--California--Los Angeles County,Activism,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973--Public opinion","San Pedro (Los Angeles, Calif.)",,1966-01-01,1966,"PICKET PARADE-Maritime industry workers stage a peaceful demonstration outside post office in San Pedro, where U.S. Maritime offices are located, to protest federal government's shipbuilding policies.",-118.2804783,33.73613555,"33.73613555,-118.2804783",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328495a.jpg
"Los Angeles area anti-poverty workers picketing Federal Building in protest over funding cuts, 1966","Economic assistance, Domestic--United States--Public opinion",Activism,Economic and Youth Opportunities Agency,Los Angeles (Calif.),,1966-01-01,1966,OPPOSE POVERTY-FUND CUTS--Some of the 600 antipoverty workers who carried placards in a march outside the Federal Building.,-118.2398146,34.05425944,"34.05425944,-118.2398146",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326024a.jpg
"Los Angeles police officer instructing other policemen in aikido training class, 1966",Riot control--California--Los Angeles,Activism,Los Angeles (Calif.). Police Dept.,Los Angeles (Calif.)--Officials and employees,"Brown, Frank Q.",1966-01-01,1966,"Officer Bob Koga shows other policemen at a special school how to use aikido to remove a seated demonstrator without injuring him. Koga applies pressure behind ""demonstrator's"" ears, above, then quickly grabs arm and twists wrist below. At right is Officer Bernard Finks, head of Civil Disturbance-Riots Control school. In role of sit-ins, from left, are policemen Ron Meade, Robert Calentino and Gary Garrison.",-118.2416332,34.08268145,"34.08268145,-118.2416332",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325991a.jpg
"""Longhaired"" students with placards, picketing in protest to dress code at Palisades High School, Pacific Palisades, Calif., 1966",Hairstyles--California--Los Angeles--1960-1970,Activism,"Palisades Charter High School (Los Angeles, Calif.)","Pacific Palisades (Los Angeles, Calif.)",,1966-01-01,1966,"""Longhaired"" Palisades High School students protest school's demand that they get hair cut.",-118.530668,34.04633904,"34.04633904,-118.530668",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326717a.jpg
"Dedication ceremony of the Artists Protest Committee's Peace Tower on Sunset and La Cienega Blvds. in Los Angeles, Calif., 1966","Vietnam War, 1961-1975--Protest movements--California--Los Angeles County",Activism,Artists Protest Committee,"Sunset Boulevard (Los Angeles, Calif.)",,1966-01-01,1966,,-118.3755666,34.09467218,"34.09467218,-118.3755666",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326284a.jpg
"Crowd (including protesters) gathers outside of Century Plaza Hotel in anticipation of President Johnson's arrival, 1967.",Crowds,Activism,,"Century City (Los Angeles, Calif.)",,1967-01-01,1967,,-118.4149683,34.05765939,"34.05765939,-118.4149683",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0013zqbt-1-thumbnail.jpg
Man arrested as press watch outside of Century Plaza Hotel prior to demonstration during President Johnson's visit. A. 1967.,Police--California--Los Angeles,Activism,,"Century City (Los Angeles, Calif.)",,1967-01-01,1967,,-118.414759,34.05761939,"34.05761939,-118.414759",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0013zh2s-1-thumbnail.jpg
Man arrested as press watch outside of Century Plaza Hotel prior to demonstration during President Johnson's visit. B. 1967.,Police--California--Los Angeles,Activism,,"Century City (Los Angeles, Calif.)",,1967-01-01,1967,,-118.415097,34.0576105,"34.0576105,-118.415097",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0013zgzr-1-thumbnail.jpg
Demonstrators on Avenue of the Stars during President Johnson's visit. 1967.,Presidents--United States,Activism,,"Century City (Los Angeles, Calif.)","Graham, Ray",1967-01-01,1967,"START OF TROUBLE - This truck ran over and injured a policeman's foot when he tried to have it removed from the demonstrators' march Friday.  The driver, Stephen S. Lippman, 16, was charged with assault with deadly weapon.",-118.4152901,34.05783271,"34.05783271,-118.4152901",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0013z62f-1-thumbnail.jpg
"Man in Santa Claus outfit handing out balloons printed with ""Peace on Earth Stop The War In Vietnam"" in Los Angeles, Calif., 1967",Students and war--California--Los Angeles County,Activism,"University of California, Los Angeles--Students",United States--Politics and government--1969-1974,"Fry, George R.",1967-01-01,1967,"PROTEST WITH HOLIDAY FLAVOR--John Martin, a non-student, wears Santa Claus outfit as he hands out balloons to pickets and others outside UCLA Job Placement Center. Fewer than 30 students showed up to protest as the Dow Chemical Co. resumed interviewing prospective employes[sic]. Monday's small turnout was in contrast to Nov. 7 when a group took over a wing of the center for three hours.",-118.4422892,34.07042241,"34.07042241,-118.4422892",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325871a.jpg
"C棠濠sar Ch棠辶vez, Paul Schrade and other strikers picketing Ford Motor Co. plant at Pico Rivera in Los Angeles, Calif., 1967",Strikes and lockouts--Automobile industry--California--Los Angeles,Activism,"Schrade, Paul",Los Angeles (Calif.),,1967-01-01,1967,"IN UAW PICKET LINE--Cesar Chavez , left, director of United Farm Workers Organizing Committee, leads some of his union members in picketing the Ford Motor Co. plant at Pico Rivera in support of striking United Auto Workers. With him is Paul Schrade, UAW western director who is directing the strikers.",-118.1042665,33.98589832,"33.98589832,-118.1042665",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326062a.jpg
"Anti-war demonstrators watching burning of napalm coated mannequin on Cal State Los Angeles campus, 1967",Students and war--California--Los Angeles County,Activism,"California State University, Los Angeles--Students",Los Angeles (Calif.),"Kennedy, Joe",1967-01-01,1967,"FIERY PROTEST--Antiwar demonstrators burn a mannequin, which they said was covered with napalm, on the campus of Cal State L.A.",-118.1732261,34.06275683,"34.06275683,-118.1732261",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326074a.jpg
"Josh Gould (with Roger Barkley, right) at City Council meeting, Los Angeles, 1967","Vietnam War, 1961-1975--Protest movements--California--Los Angeles",Activism,"Los Angeles City Hall (Los Angeles, Calif.)",Los Angeles (Calif.),"Rogers, Art",1967-01-01,1967,"CARRIED AWAY AFTER PROTEST - Josh Gould shouting during hectic City Council meeting; beside him is protester Roger Barkley. Right, Gould being carried out by police.",-118.243264,34.053589,"34.053589,-118.243264",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz0013z671-2-thumbnail.jpg
"Los Angeles Biafra Student Association members, in native African garb, picketing the Los Angeles Federal Building, 1967","Students, Foreign--Nigeria",Activism,,Los Angeles (Calif.),"Fontanini, Steve",1967-01-01,1967,"BIAFRA PROTEST--Students from colleges in the Los Angeles area who are members of the Biafra Student Assn., march in native garb in front of the Federal Building to protest the possibility of the United States giving aid to Nigeria. The U.S. government had rejected Nigeria's request for military aid Monday night. A letter from the association urging a neutral U.S. stand was sent to President Johnson.",-118.2402706,34.05385055,"34.05385055,-118.2402706",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325855a.jpg
"John Coffman, president of Committee for Rhodesian Independence in Support of Ian Smith, speaking to crowd at UCLA, 1967",Public speaking,Activism,Committee for Rhodesian Independence in Support of Ian Smith,Los Angeles (Calif.),"Cox, Bruce H.",1967-01-01,1967,"A SPEECH THAT PRECEDED TROUBLE--John Coffman, president of Committee for Rhodesian Independence, speaks to crowd at UCLA before scheduled burning of Soviet, Nazi and U.N. flags.",-118.4421766,34.07238202,"34.07238202,-118.4421766",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326052a.jpg
"Los Angeles Sheriff deputies and boycotting Garfield High School students, 1968",Chicano Movement,Activism,Los Angeles County (Calif.). Sheriff's Department,Los Angeles (Calif.),"Kennedy, Joe",1968-01-01,1968,,-118.1573984,34.0251699,"34.0251699,-118.1573984",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326084a.jpg
"Members of the Jeannette Rankin Brigade demonstrating outside old State Building in Los Angeles, Calif., 1968",Feminism--California--Los Angeles County,Activism,"Burstyn, Ellen, 1932- --Political activity",Los Angeles (Calif.),"Murphy, Bill",1968-01-01,1968,,-118.24185,34.0511305,"34.0511305,-118.24185",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326078a.jpg
"C棠濠sar Ch棠辶vez, flanked by Jerry Cohen and LeRoy Chatfield leaving Bakersfield, Calif. courthouse, 1968","Grape Strike, Calif., 1965-1970",Activism,United Farm Workers of America,Bakersfield (Calif.),"Oliver, R. L.",1968-01-01,1968,,-119.0186048,35.37330462,"35.37330462,-119.0186048",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326083a.jpg
"Dr. Benjamin Spock at podium during UCLA anti-war rally at Pauley Pavilion, 1968",Public speaking,Activism,"Spock, Benjamin, 1903-1998",Los Angeles (Calif.),"Malmin, John",1968-01-01,1968,,-118.4468114,34.07033798,"34.07033798,-118.4468114",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326079a.jpg
"Crowd watching anti-war demonstration on the steps of Los Angeles City Hall, 1968",Crowds,Activism,"Los Angeles City Hall (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.",,1968-01-01,1968,PEACE RALLY AT CITY HALL-Spectators and passerby relax on the State Building lawn as antiwar marchers gather across Spring Street at City Hall to hear speeches after a march along,-118.2435188,34.05413055,"34.05413055,-118.2435188",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325883a.jpg
"Marchers with signs reading ""Have A Dream"", ""We Mourn Dr King"" and the peace symbol walking down sidewalk in Van Nuys, Calif., 1968",Civil rights movements--California--Los Angeles County,Activism,"King, Martin Luther, Jr., 1929-1968--Death and burial","Van Nuys (Los Angeles, Calif.)","Cormier, Don",1968-01-01,1968,,-118.4488895,34.19237775,"34.19237775,-118.4488895",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325880a.jpg
"Municipal workers picketing during strike in Santa Monica, Calif., 1968",Municipal officials and employees--California--Santa Monica,Activism,,Santa Monica (Calif.)--Officials and employees,"Murphy, Bill",1968-01-01,1968,,-118.491894,34.01156409,"34.01156409,-118.491894",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326101a.jpg
Angela Davis and Professor Donald Kalish,African American political activists,Activism,"University of California, Los Angeles--Faculty",Los Angeles (Calif.),,1969-01-01,1969,,-118.4421122,34.07278193,"34.07278193,-118.4421122",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00033933a.jpg
"Demonstrator with sign stating ""Gabachos:Beware of The Chicano He is Aware and Ready Viva La Raza"" outside of Hall of Justice in Los Angeles, Calif., 1969",Mexican Americans--Civil rights,Activism,"Chargin, Gerald S., 1904-1993--Public opinion",Los Angeles (Calif.),"Whitney, Fitzgerald",1969-01-01,1969,,-118.2434785,34.05583277,"34.05583277,-118.2434785",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326131a.jpg
Distributing street cleaning supplies to Operation Youth in Los Angeles (Calif.),Street cleaning,Activism,American Christian Freedom Society,"Watts (Los Angeles, Calif.)",,1969-01-01,1969,,-118.2784398,34.0054819,"34.0054819,-118.2784398",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012581a.jpg
"Angela Davis, portrait",African American political activists,Activism,"Davis, Angela Yvonne, 1944-",Los Angeles (Calif.),,1970-01-01,1970,,-117.8472948,34.04604568,"34.04604568,-117.8472948",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00033934a.jpg
Angela Davis speaks to students at San Fernando Valley State College,African American political activists,Activism,San Fernando Valley State College,Los Angeles (Calif.),,1970-01-01,1970,,-118.5307753,34.23957697,"34.23957697,-118.5307753",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00033944a.jpg
Angela Davis demonstrates against prison conditions at the State Building (Calif.),African American political activists,Activism,"Davis, Angela Yvonne, 1944-",Los Angeles (Calif.),"Graham, Ray",1970-01-01,1970,,-118.2464933,34.05347721,"34.05347721,-118.2464933",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00033936a.jpg
"Mourners kneeling at the casket of Ruben Salazar at his funeral, Newport Beach, 1970",Coffins,Activism,"Salazar, Ruben, 1928-",Newport Beach (Calif.),,1970-01-01,1970,,-117.8528993,33.61058382,"33.61058382,-117.8528993",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b662_neg265105-15_frame20.jpg
"Raul Ruiz on the witness stand of the Salazar inquest, Hall of Records, Los Angeles,  1970",Hearings,Activism,"Ruiz, Raul",Los Angeles (Calif.),,1970-01-01,1970,,-118.2241024,34.05467467,"34.05467467,-118.2241024",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b662_neg265105-19_frame18.jpg
Mourners pay respects to Ruben Salazar,"Vietnam War, 1961-1975--Protest movements--California--Los Angeles",Activism,"Salazar, Ruben, 1928-",East Los Angeles (Calif.),,1970-01-01,1970,,-117.8529543,33.61122848,"33.61122848,-117.8529543",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012688a.jpg
Aerial view of riots following Chicano Moratorium Committee antiwar protest,"Vietnam War, 1961-1975--Protest movements--California--Los Angeles",Activism,Chicano Moratorium Committee,East Los Angeles (Calif.),,1970-01-01,1970,,-118.1572723,34.02042145,"34.02042145,-118.1572723",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012692a.jpg
"Feminist Gloria Steinem speaking at Cal State Long Beach, Calif., 1970",Public speaking,Activism,"Steinem, Gloria",Long Beach (Calif.),"Ballard, Kathleen",1970-01-01,1970,"WOMEN'S LIB RALLY--Gloria Steinem spoke out for women strongly at Cal State Long Beach--and had a word about men. ""Our objection to women being regarded as sex objects is that it goes only one way. Men are beautiful, too."" Women's Lib seminar took place after the rally.",-118.120734,33.7839107,"33.7839107,-118.120734",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326859a.jpg
